最低气温,城市
-25,大兴安岭
-24,黑河
-22,鹤岗
-21,伊春
-21,呼伦贝尔
-19,那曲
-18,日喀则
-18,玉树
-17,佳木斯
-17,海北
-16,白山
-16,果洛
-15,牡丹江
-15,绥化
-15,阜新
-15,锡林郭勒
-15,甘南
-15,阿勒泰
-15,博尔塔拉
-15,北屯
-15,双河
-14,齐齐哈尔
-14,鸡西
-14,辽源
-14,松原
-14,抚顺
-14,阿里
-14,石河子
-13,哈尔滨
-13,七台河
-13,双鸭山
-13,通化
-13,白城
-13,沈阳
-13,包头
-13,张掖
-12,四平
-12,大同
-12,兴安盟
-12,甘孜
-12,山南
-12,克拉玛依
-12,西宁
-12,海南
-11,大庆
-11,朝阳
-11,呼和浩特
-11,乌兰察布
-11,通辽
-11,赤峰
-11,阿坝
-11,迪庆
-11,拉萨
-11,哈密
-11,海西
-10,吉林
-10,延边
-10,铁岭
-10,承德
-10,巴彦淖尔
-10,酒泉
-10,巴音郭楞
-10,阿克苏
-10,铁门关
-9,长春
-9,本溪
-9,延庆
-9,晋中
-9,朔州
-9,乌海
-9,昌都
-9,临夏
-9,嘉峪关
-9,乌鲁木齐
-9,昌吉
-9,阿拉尔
-9,塔城
-9,五家渠
-9,海东
-9,黄南
-9,石嘴山
-8,丹东
-8,葫芦岛
-8,太原
-8,定西
-8,金昌
-8,吐鲁番
-7,密云
-7,平谷
-7,北辰
-7,张家口
-7,唐山
-7,阿拉善盟
-7,延安
-7,榆林
-7,武威
-7,白银
-7,伊犁
-7,图木舒克
-7,可克达拉
-7,银川
-7,中卫
-6,营口
-6,辽阳
-6,盘锦
-6,怀柔
-6,宝坻
-6,宁河
-6,蓟州
-6,秦皇岛
-6,忻州
-6,鄂尔多斯
-6,平凉
-6,吴忠
-5,锦州
-5,北京
-5,通州
-5,大兴
-5,房山
-5,保定
-5,廊坊
-5,沧州
-5,雄安新区
-5,阳泉
-5,兰州
-5,喀什
-5,和田
-5,固原
-4,海淀
-4,顺义
-4,昌平
-4,丰台
-4,石景山
-4,门头沟
-4,西城
-4,武清
-4,东丽
-4,西青
-4,静海
-4,津南
-4,林芝
-4,淄博
-4,克州
-3,鞍山
-3,朝阳
-3,东城
-3,滨海新区
-3,衡水
-3,吕梁
-3,滨州
-3,东营
-3,杨凌
-3,鹤壁
-2,天津
-2,和平
-2,河东
-2,河西
-2,南开
-2,河北
-2,红桥
-2,石家庄
-2,邯郸
-2,运城
-2,德州
-2,潍坊
-2,泰安
-2,聊城
-2,咸阳
-2,庆阳
-2,安阳
-2,濮阳
-1,长治
-1,晋城
-1,烟台
-1,西安
-1,铜川
