title,style,score,profiles,actors,down_url,year,country,cover,director
2018年动作喜剧《憨豆特工3》BD中英双字幕,喜剧/动作/冒险,6.7/10 from 19430 users,[''],"['\u3000罗温·艾金森 Rowan Atkinson ', '本·米勒 Ben Miller', '欧嘉·柯瑞兰寇 Olga Kurylenko', '杰克·莱西 Jake Lacy', '艾玛·汤普森 Emma Thompson', '米兰达·亨妮莎 Miranda Hennessy', '亚当·詹姆斯 Adam James', '萨曼莎·罗素 Samantha Russell', '大卫·穆梅尼 David Mumeni', 'Tuncay Gunes', '梶冈润一 Junichi Kajioka', ""埃迪·奥康奈尔 Eddie O'Connell"", '尼克·欧文福特 Nick Owenford', '马修·比尔德 Matthew Beard']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3164/阳光电影www.ygdy8.com.憨豆特工3.BD.720p.中英双字幕.mkv'],2018,法国/美国/英国,https://extraimage.net/images/2018/12/18/dcefcde69a3f5e3861098ab116b3e389.jpg,大卫·科尔 David Kerr
2018年剧情《丽兹/裸爱杀机》BD中英双字幕,剧情 / 传记 / 犯罪,6.2/10 from 815 users,[''],"['\u3000科洛·塞维尼 Chloë Sevigny ', '克里斯汀·斯图尔特 Kristen Stewart', ""丹尼斯·欧哈拉 Denis O'Hare"", '金·迪肯斯 Kim Dickens', '费奥纳·肖 Fiona Shaw', '杰夫·帕里 Jeff Perry', '杰米·谢尔丹 Jamey Sheridan', '塔拉·奥克斯 Tara Ochs', '杰伊·胡古雷 Jay Huguley', '达林·库珀 Darin Cooper', '杰瑞米·赛克斯 Jeremy Sykes', '乔迪·马泽尔 Jody Matzer', '汤姆·森 Tom Thon']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:4106/阳光电影www.ygdy8.com.丽兹.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/16/ca618603bf33cb890f01fe7292e83744.jpg,克雷格·麦克尼尔 Craig Macneill
2018年动作《保镖》BD英语中字,剧情/动作/犯罪,,[''],"['\u3000尚格·云顿 Jean-Claude Van Damme ', 'Dimitri Thivaios', 'Kevin Janssens', 'Sam Louwyck']",['ftp://ygdy8:ygdy8@yg90.dydytt.net:8437/阳光电影www.ygdy8.com.保镖.BD.720p.英语中字.mkv'],2018,法国,https://extraimage.net/images/2018/12/18/c82b07f5d12653b9b970f78da8b7e4b5.jpg,朱利安·勒克莱克 Julien Leclercq
2018年高分获奖剧情《登月第一人》BD中英双字幕,剧情/传记/历史,7.6/10 from 5888 users,[''],"['\u3000瑞恩·高斯林 Ryan Gosling ', '克莱尔·芙伊 Claire Foy', '杰森·克拉克 Jason Clarke', '凯尔·钱德勒 Kyle Chandler', '寇瑞·斯托尔 Corey Stoll', '派屈克·福吉特 Patrick Fugit', '克里斯托弗·阿波特 Christopher Abbott', '塞伦·希德 Ciarán Hinds', '奥莉维亚·汉密尔顿 Olivia Hamilton', '巴勃罗·施瑞博尔 Pablo Schreiber', '谢伊·惠格姆 Shea Whigham', '卢卡斯·哈斯 Lukas Haas', '伊桑·恩布里 Ethan Embry', ""布莱恩·达西·詹姆斯 Brian d'Arcy James"", '科里·迈克尔·史密斯 Cory Michael Smith', '克里斯·斯万博格 Kris Swanberg']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3162/阳光电影www.ygdy8.com.登月第一人.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/17/d1da267a64ae7f5e4c5b7de44423d081.jpg,达米恩·查泽雷 Damien Chazelle
2018年动作《回溯者》BD中英双字幕,动作,,[''],"['\u3000西尔维斯特·史泰龙 Sylvester Stallone ....Sykes ', '瑞安·古兹曼 Ryan Guzman ....Lucas', '马修·莫迪恩 Matthew Modine ....Macdonald', '梅多·威廉姆斯 Meadow Williams ....Erin', 'Christopher McDonald ....Franks', '科林·伊格斯菲德 Colin Egglesfield ....Detective Carter', '贝莉·柯伦 Baylee Curran ....Sec. Guard Alicia', '丽迪雅·赫尔 Lydia Hull ....Dr. Nichols', 'Swen Temmel ....Truby', 'Heather Johansen ....Sara', 'Jenna Willis ....Detective Bay', 'Tamara Belous ....Melissa', 'Tyler Jon Olson ....Farren', 'Alanna Tremblay ....News Reporter', 'Geoff Reeves ....Police Officer', 'Victoria Fraunberger ....Hotel Guest', 'Sergio Rizzuto ....Foster', 'Carl Anthony Nespoli ....Rick', ""Carroll 'Pinky' Duwart III ....Security Guard Nick"", 'Jessi Phillips ....Hotel Guest', 'Joe Gelchion ....Captain Stover', 'Yan Dron ....Hicks']",['ftp://ygdy8:ygdy8@yg90.dydytt.net:8435/阳光电影www.ygdy8.com.回溯者.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/16/37b0ce0540845a6ba0ebd03f4ff35379.jpg,布莱恩·A·米勒 Brian A Miller
2018年喜剧《李茶的姑妈》HD国语中英双字,喜剧,5.0/10 from 78496 users,[''],"['\u3000黄才伦 Cailun Huang ', '艾伦 Allen', '宋阳 Yang Song', '卢靖姗 Celina Jade', '沈腾 Teng Shen']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:7370/阳光电影www.ygdy8.com.李茶的姑妈.HD.1080p.国语中英双字.mp4'],2018,中国,https://extraimage.net/images/2018/12/15/a16f5a850befc43e0250863bfc89c967.jpg,吴昱翰 Yuhan Wu
2018年剧情《宝贝儿》HD国语中英双字,剧情,5.4/10 from 21478 users,[''],"['\u3000杨幂 Mi Yang ', '郭京飞 Jingfei Guo', '李鸿其 Hong-Chi Lee']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3161/阳光电影www.ygdy8.com.宝贝儿.HD.1080p.国语中英双字.mp4'],2018,中国,https://extraimage.net/images/2018/12/13/5697d5dd1e82de24b24e5e1e9d46ef46.jpg,刘杰 Jie Liu
2018年喜剧《动物之家婚礼记》BD法语中字,喜剧/爱情,6.3/10 from 109 users,[''],"['\u3000费利克斯·莫阿蒂 Félix Moati ', 'Laetitia Dosch', '克丽丝塔·特瑞特 Christa Theret', '玛琳娜·佛伊丝 Marina Foïs', '纪尧姆·谷伊 Guillaume Gouix', '艾洛迪·布歇 Élodie Bouchez', '约翰·海尔登贝格 Johan Heldenbergh']",['ftp://ygdy8:ygdy8@yg72.dydytt.net:8311/阳光电影www.ygdy8.com.动物之家婚礼记.BD.720p.法语中字.mkv'],2017,法国/比利时,https://extraimage.net/images/2018/09/18/5f83aa9cecc86b70db9ee9599d8e8a60.jpg,安东尼·柯迪耶 Antony Cordier
2018年悬疑《一个小忙/失踪网红》BD中英双字幕,剧情/悬疑/犯罪,7.1/10 from 4109 users,[''],"['\u3000布蕾克·莱弗利 Blake Lively ', '安娜·肯德里克 Anna Kendrick', '亨利·戈尔丁 Henry Golding', '鲁伯特·弗兰德 Rupert Friend', '伊恩·霍 Ian Ho', '约书亚·萨坦 Joshua Satine', '格伦达·布拉甘扎 Glenda Braganza', '安德鲁·兰内斯 Andrew Rannells', '凯利·麦柯马克 Kelly McCormack', '阿帕纳·纳彻 Aparna Nancherla', '达斯汀·米利甘 Dustin Milligan', 'Danielle Bourgon', '诺林·古拉姆高斯 Noorin Gulamgaus', '巴希尔·萨拉赫丁 Bashir Salahuddin', 'Melody Johnson', ""麦丽莎·奥尼尔 Melissa O'Neil"", '埃里克·约翰逊 Eric Johnson', '琳达·卡德里尼 Linda Cardellini', '莎拉·贝克 Sarah Baker', '珍·斯马特 Jean Smart', 'Lesleh Donaldson', '克里斯·欧文斯 Chris Owens', 'Rosanna Scotto', 'Domenic Cina', '辛迪·戴 Cyndy Day']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8369/阳光电影www.ygdy8.com.一个小忙.BD.720p.中英双字幕.mkv'],2018,美国/加拿大,https://extraimage.net/images/2018/12/12/78a6236c00693a056d28d726a12ae835.jpg,保罗·费格 Paul Feig
2018年惊悚《河流如血》BD中英双字幕,惊悚/犯罪,5.1/10 from 86 users,[''],"['\u3000泰雅·迪格斯 Taye Diggs ', '约翰·库萨克 John Cusack', '乔治·洛佩兹 George Lopez', '卢克·海姆斯沃斯 Luke Hemsworth', 'Gianni Capaldi', '布莱恩娜·伊维根 Briana Evigan', 'RJ·米特 RJ Mitte', 'Steven Berrebi', '贾克琳·弗莱明 Jaqueline Fleming', '詹妮弗·陶 Jennifer Tao', 'Yvette Parish']",['ftp://ygdy8:ygdy8@yg90.dydytt.net:8432/阳光电影www.ygdy8.com.河流如血.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/12/98b3a2c3fcf1243330bdbd5de721fb5e.jpg,Wes Miller
2018年高分喜剧恐怖《摄影机不要停！》BD日语中字,喜剧 / 恐怖,8.5/10 from 16544 users,[''],"['\u3000滨津隆之 Takayuki Hamatsu ', '真鱼 Mao', '主浜晴美 Harumi Shuhama', '长屋和彰 Nagaya Kazuaki', '细井学 Manabu Hosoi', '市原洋 Hiroshi Ichihara', '山崎俊太郎 Shuntarô Yamazaki', ""大泽真一郎 Shin'ichirô Ôsawa"", '竹原芳子 Yoshiko Takehara', '吉田美纪 Miki Yoshida', '合田纯奈 Ayana Gôda', '浅森咲希奈 Sakina Asamori', '秋山柚稀 Yuzuki Akiyama', '山口友和 Tomokazu Yamaguchi', '藤村拓矢 Takuya Fujimura', '岩合智史 Sakina Iwaji', '高桥恭子 Kyôko Takahashi', '岩合智史 Satoshi Iwagô']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8368/阳光电影www.ygdy8.com.摄影机不要停！.BD.720p.日语中字.mkv'],2018,日本,https://extraimage.net/images/2018/12/11/9927ac7cb180ca149954a94a594affe1.jpg,上田慎一郎 Shin'ichirô Ueda
2018年剧情冒险《森林之子毛克利》BD中英双字幕,剧情/冒险,6.3/10 from 363 users,[''],"['\u3000本尼迪克特·康伯巴奇 Benedict Cumberbatch ', '克里斯蒂安·贝尔 Christian Bale', '凯特·布兰切特 Cate Blanchett', '安迪·瑟金斯 Andy Serkis', '娜奥米·哈里斯 Naomie Harris', '汤姆·霍兰德 Tom Hollander', '杰克·莱诺 Jack Reynor', '罗翰·昌德 Rohan Chand', '埃迪·马森 Eddie Marsan', '彼得·穆兰 Peter Mullan', '芙蕾达·平托 Freida Pinto', '马修·瑞斯 Matthew Rhys', '路易斯·阿什伯恩·瑟金斯 Louis Ashbourne Serkis']",['ftp://ygdy8:ygdy8@yg90.dydytt.net:8429/阳光电影www.ygdy8.com.森林之子毛克利.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/09/92335659cdfe7dbe704969414eb6adc7.jpg,安迪·瑟金斯 Andy Serkis
2018年剧情爱情《你好，之华》HD国语中字,剧情/爱情,7.0/10 from 68631 users,[''],"['\u3000周迅 Xun Zhou ', '秦昊 Hao Qin', '杜江 Jiang Du', '张子枫 Zifeng Zhang', '邓恩熙 Enxi Deng', '边天扬 Tianyang Bian', '吴彦姝 Yanshu Wu', '谭卓 Zhuo Tan', '胡歌 Ge Hu']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8365/阳光电影www.ygdy8.com.你好，之华.HD.1080p.国语中字.mp4'],2018,中国,https://extraimage.net/images/2018/12/09/c9870e5a09774a85d3f1b6fbc0f7ad47.jpg,岩井俊二 Shunji Iwai
2018年高分获奖剧情《阿拉姜色》HD国语中字,剧情 / 家庭,7.6/10 from 5081 users,[''],"['\u3000容中尔甲 ', '尼玛颂宋 Nimasongsong', '赛却加 Sechok Gyal']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8364/阳光电影www.ygdy8.com.阿拉姜色.HD.720p.国语中字.mkv'],2018,中国大陆,https://extraimage.net/images/2018/12/07/dc9d7867be5e58fb11d7c9d13b1ccf34.jpg,松太加 Sonthar Gyal
2018年动画《昨日青空》HD国语中字,爱情/动画,6.1/10 from 19859 users,[''],"['\u3000苏尚卿 Shangqing Su ', '王一博 Yibo Wang', '段艺璇', '马斑马 Banma Ma', '慧明']",['ftp://ygdy8:ygdy8@yg72.dydytt.net:8309/阳光电影www.ygdy8.com.昨日青空.HD.1080p.国语中字.mkv'],2018,中国,https://extraimage.net/images/2018/12/06/8036bd0614032aa9266b942948687da4.jpg,奚超 Chao Xi
2018年动作喜剧《胖子行动队》HD国语中英双字,喜剧/动作,3.9/10 from 14909 users,[''],"['\u3000文章 Zhang Wen ', ""包贝尔 Bei'er Bao"", '郭京飞 Jingfei Guo', '李成敏 Clara Lee', '辣目洋子', '许君聪 Juncong Xu', '曾一竣 Yijun Zeng', '张梦露 Menglu Zhang', '戚玉武 Yuwu Qi', '仓田保昭 Yasuaki Kurata', '木幡龙 Ryu Kohata', '宋佳 Jia Song', '文隽 Manfred Wong']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:6151/阳光电影www.ygdy8.com.胖子行动队.HD.720p.国语中英双字.mkv'],2018,中国,https://extraimage.net/images/2018/12/06/6c58aaf03f83059876f8ed2073e4f96f.jpg,包贝尔 Bei'er Bao
2018年剧情《找到你/谜踪》HD国语中字,剧情,7.5/10 from 55884 users,[''],"['\u3000姚晨 Chen Yao ', '马伊琍 Yili Ma', '袁文康 Wenkang Yuan', '吴昊宸 Haochen Wu', '王梓尘 Zichen Wang', '陶昕然 Xinran Tao', '高叶 Ye Gao', '齐欢 Huan Qi']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3160/阳光电影www.ygdy8.com.找到你.HD.1080p.国语中英双字.mp4'],2018,中国,https://extraimage.net/images/2018/12/05/ec590d200ec9975a46c76d69ae0b5cc6.jpg,吕乐 Yue Lü
2018年动画喜剧《雪怪大冒险》BD中英双字幕,喜剧/动画/冒险,7.6/10 from 5552 users,[''],"['\u3000查宁·塔图姆 Channing Tatum ', '詹姆斯·柯登 James Corden', '赞达亚 Zendaya', '勒布朗·詹姆斯 LeBron James', '科曼 Common', '吉娜·罗德里格兹 Gina Rodriguez', '丹尼·德维托 Danny DeVito', '吉米·塔特罗 Jimmy Tatro', '雅拉·沙希迪 Yara Shahidi', '伊利·亨利 Ely Henry']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:3159/阳光电影www.ygdy8.com.雪怪大冒险.BD.720p.中英双字幕.mkv'],2018,美国,https://extraimage.net/images/2018/12/05/45ba715f0a2b0a6ca65974c7515476ed.jpg,凯瑞·柯克帕特里克 Karey Kirkpatrick/Jason Reisig
2018年恐怖动作《猖獗/尸杀帝国》BD韩语中字,动作/恐怖,5.5/10 from 1392 users,[''],"['\u3000玄彬 Hyun Bin ', '赵宇镇 Cho WooJin', '张东健 Dong-gun Jang', '金义城 Eui-sung Kim', '李善彬 Sun-bin Lee', '郑满植 Man-shik Jeong', '徐智慧 Ji-hye Seo', '赵达焕 Dal-hwan Jo', '金太祐 Tae-woo Kim', '许成泰 Seong-tae Heo', '朴镇宇 Park Jin-woo', '韩智恩 Han Ji Eun', '许俊硕 Jun-seok Heo', '白秀章 Soo-Jang Baek', '鄭惟安 Jung Yoo-ahn']",['ftp://ygdy8:ygdy8@yg72.dydytt.net:8308/阳光电影www.ygdy8.com.猖獗.BD.720p.韩语中字.mkv'],2018,韩国,https://extraimage.net/images/2018/12/04/624a6d8fe4821e9c6e1816b8cf48fcac.jpg,金成勋 Kim Sung-hoon
2018年悬疑《拉普拉斯的魔女》BD日语中字,剧情 / 悬疑,5.6/10 from 1881 users,[''],"['\u3000樱井翔 Shô Sakurai ', '广濑铃 Suzu Hirose', '福士苍汰 Sôta Fukushi', '冈本多绪 Tao Okamoto', '高岛政伸 Masanobu Takashima', '志田未来 Mirai Shida', '佐藤江梨子 Eriko Satô', '檀丽 Rei Dan', '玉木宏 Hiroshi Tamaki', '中川雅也 Lily Franky', '丰川悦司 Etsushi Toyokawa']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8363/阳光电影www.ygdy8.com.拉普拉斯的魔女.BD.720p.日语中字.mkv'],2018,日本,https://extraimage.net/images/2018/12/04/103eda9e26f1028d9cc99f4a10c84b83.jpg,三池崇史 Takashi Miike
2018年动作《影/荆州保卫战》HD国语中英双字,剧情/动作/武侠/古装,7.4/10 from 213696 users,[''],"['\u3000邓超 Chao Deng ', '孙俪 Li Sun', '郑恺 Kai Zheng', '王千源 Qianyuan Wang', '王景春 Jingchun Wang', '胡军 Jun Hu', '关晓彤 Xiaotong Guan', '吴磊 Lei Wu']",['ftp://ygdy8:ygdy8@yg45.dydytt.net:8362/阳光电影www.ygdy8.com.影.HD.1080p.国语中英双字.mp4'],2018,中国,https://extraimage.net/images/2018/12/01/ab818d80692c812b1474c1befa9ad797.jpg,张艺谋 Yimou Zhang
2018年惊悚剧情《嗝嗝老师》BD中英双字幕,剧情/喜剧,"7.5/10 from 7,962 users",[''],"['\u3000拉妮·玛克赫吉 Rani Mukherjee ', '内拉吉·卡比 Neeraj Kabi', '萨钦 Sachin', '苏普丽雅·皮尔加卡尔 Supriya Pilgaonkar', '罗特·萨拉夫 Rohit Saraf', '维克拉姆·戈克哈尔 Vikram Gokhale', '雷伊·舒克拉 Riya Shukla', '阿西夫·巴斯拉 Asif Basra', '加纳特·拉玛妮 Jannat Zubair Rahmani', '侯赛因·达拉尔 Hussain Dalal', '伊万·罗德里格斯 Ivan Rodrigues', '坤纳·斯内德 Kunal Shiinde', '哈许·梅尔 Harsh Mayar', '什库马尔·苏布拉马尼亚姆 Shivkumar Subramaniam']",['ftp://ygdy8:ygdy8@yg72.dydytt.net:8306/阳光电影www.ygdy8.com.嗝嗝老师.BD.720p.中英双字幕.mkv'],2018,印度,https://extraimage.net/images/2018/10/18/4b6c7c985478719686e58d0fa54e8b16.jpg,西达夫·马贺拉 Siddharth Malhotra
